QuizName,QuizClass,FirstName,LastName,StudentID,CustomID,Earned Points,Possible Points,PercentCorrect,QuizCreated,DataExported,Key Version,Stu1,PriKey1,Points1,Mark1,Stu2,PriKey2,Points2,Mark2,Stu3,PriKey3,Points3,Mark3,Stu4,PriKey4,Points4,Mark4,Stu5,PriKey5,Points5,Mark5,Stu6,PriKey6,Points6,Mark6,Stu7,PriKey7,Points7,Mark7,Stu8,PriKey8,Points8,Mark8,Stu9,PriKey9,Points9,Mark9,Stu10,PriKey10,Points10,Mark10,Stu11,PriKey11,Points11,Mark11,Stu12,PriKey12,Points12,Mark12,Stu13,PriKey13,Points13,Mark13,Stu14,PriKey14,Points14,Mark14,Stu15,PriKey15,Points15,Mark15,Stu16,PriKey16,Points16,Mark16,Stu17,PriKey17,Points17,Mark17,Stu18,PriKey18,Points18,Mark18,Stu19,PriKey19,Points19,Mark19,Stu20,PriKey20,Points20,Mark20,Stu21,PriKey21,Points21,Mark21,Stu22,PriKey22,Points22,Mark22,Stu23,PriKey23,Points23,Mark23,Stu24,PriKey24,Points24,Mark24,Stu25,PriKey25,Points25,Mark25,Stu26,PriKey26,Points26,Mark26,Stu27,PriKey27,Points27,Mark27,Stu28,PriKey28,Points28,Mark28,Stu29,PriKey29,Points29,Mark29,Stu30,PriKey30,Points30,Mark30
Unit 4 Test,2nd Period,Roy,Henderson,62596,,30,30,100,10/8/2019 0:00,10/10/2019 15:23,1,D,D,1,C,B,B,1,C,C,C,1,C,A,A,1,C,D,D,1,C,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,D,D,1,C,C,C,1,C,A,A,1,C,A,A,1,C,D,D,1,C,D,D,1,C,A,A,1,C,D,D,1,C,B,B,1,C,B,B,1,C,C,C,1,C,C,C,1,C,B,B,1,C,B,B,1,C,D,D,1,C,B,B,1,C,BC,BC,1,C,CD,CD,1,C,BD,BD,1,C,AC,AC,1,C,AC,AC,1,C
Unit 4 Test,6th Period,Larry,Hernandez,38698,,20,30,66.67,10/8/2019 0:00,10/10/2019 15:23,1,B,D,0,X,B,B,1,C,D,C,0,X,D,A,0,X,A,D,0,X,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,D,D,1,C,C,C,1,C,B,A,0,X,A,A,1,C,A,D,0,X,D,D,1,C,C,A,0,X,D,D,1,C,B,B,1,C,A,B,0,X,C,C,1,C,C,C,1,C,B,B,1,C,B,B,1,C,D,D,1,C,B,B,1,C,BC,BC,1,C,AC,CD,0,X,AB,BD,0,X,AC,AC,1,C,AC,AC,1,C
Unit 4 Test,5th Period,Patricia,Robinson,19435,,27,30,90,10/8/2019 0:00,10/10/2019 15:23,1,D,D,1,C,B,B,1,C,C,C,1,C,A,A,1,C,D,D,1,C,A,A,1,C,B,B,1,C,A,A,1,C,B,C,0,X,D,D,1,C,C,C,1,C,A,A,1,C,A,A,1,C,D,D,1,C,D,D,1,C,A,A,1,C,D,D,1,C,B,B,1,C,B,B,1,C,C,C,1,C,C,C,1,C,B,B,1,C,D,B,0,X,A,D,0,X,B,B,1,C,BC,BC,1,C,CD,CD,1,C,BD,BD,1,C,AC,AC,1,C,AC,AC,1,C
Unit 4 Test,2nd Period,Peter,King,68314,,27,30,90,10/8/2019 0:00,10/10/2019 15:23,2,B,B,1,C,B,B,1,C,C,C,1,C,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,A,A,1,C,C,C,1,C,D,B,0,X,D,D,1,C,A,D,0,X,C,C,1,C,B,B,1,C,B,B,1,C,A,A,1,C,A,A,1,C,B,B,1,C,C,C,1,C,C,B,0,X,D,D,1,C,B,B,1,C,C,C,1,C,B,B,1,C,C,C,1,C,BD,BD,1,C,BC,BC,1,C,AD,AD,1,C,AB,AB,1,C,BD,BD,1,C
Unit 4 Test,6th Period,Lawrence,Perry,62047,,27,30,90,10/8/2019 0:00,10/10/2019 15:23,2,B,B,1,C,B,B,1,C,C,C,1,C,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,A,A,1,C,C,C,1,C,B,B,1,C,D,D,1,C,D,D,1,C,C,C,1,C,B,B,1,C,B,B,1,C,A,A,1,C,A,A,1,C,C,B,0,X,C,C,1,C,B,B,1,C,D,D,1,C,B,B,1,C,C,C,1,C,B,B,1,C,C,C,1,C,BD,BD,1,C,BC,BC,1,C,BD,AD,0,X,AD,AB,0,X,BD,BD,1,C
Unit 4 Test,6th Period,Anne,Bryant,87104,,26,30,86.67,10/8/2019 0:00,10/10/2019 15:23,1,D,D,1,C,B,B,1,C,C,C,1,C,A,A,1,C,D,D,1,C,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,D,D,1,C,C,C,1,C,A,A,1,C,A,A,1,C,C,D,0,X,A,D,0,X,B,A,0,X,D,D,1,C,B,B,1,C,B,B,1,C,C,C,1,C,C,C,1,C,B,B,1,C,B,B,1,C,D,D,1,C,B,B,1,C,BC,BC,1,C,BC,CD,0,X,BD,BD,1,C,AC,AC,1,C,AC,AC,1,C
Unit 4 Test,5th Period,Maria,Collins,22086,,26,30,86.67,10/8/2019 0:00,10/10/2019 15:23,1,D,D,1,C,B,B,1,C,C,C,1,C,A,A,1,C,D,D,1,C,A,A,1,C,B,B,1,C,,A,1,C,C,C,1,C,D,D,1,C,C,C,1,C,A,A,1,C,A,A,1,C,A,D,0,X,D,D,1,C,A,A,1,C,D,D,1,C,B,B,1,C,A,B,0,X,C,C,1,C,C,C,1,C,B,B,1,C,B,B,1,C,D,D,1,C,A,B,0,X,BD,BC,0,X,CD,CD,1,C,BD,BD,1,C,AC,AC,1,C,AC,AC,1,C
Unit 4 Test,5th Period,Cheryl,Johnson,92597,,29,30,96.67,10/8/2019 0:00,10/10/2019 15:23,1,D,D,1,C,B,B,1,C,C,C,1,C,A,A,1,C,D,D,1,C,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,D,D,1,C,C,C,1,C,A,A,1,C,A,A,1,C,D,D,1,C,D,D,1,C,A,A,1,C,D,D,1,C,B,B,1,C,B,B,1,C,C,C,1,C,C,C,1,C,B,B,1,C,B,B,1,C,D,D,1,C,B,B,1,C,BC,BC,1,C,BC,CD,0,X,BD,BD,1,C,AC,AC,1,C,AC,AC,1,C
Unit 4 Test,6th Period,Sara,Powell,17006,,25,30,83.33,10/8/2019 0:00,10/10/2019 15:23,2,B,B,1,C,B,B,1,C,C,C,1,C,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,A,A,1,C,C,C,1,C,B,B,1,C,B,D,0,X,A,D,0,X,C,C,1,C,B,B,1,C,B,B,1,C,B,A,0,X,A,A,1,C,C,B,0,X,C,C,1,C,B,B,1,C,D,D,1,C,B,B,1,C,C,C,1,C,B,B,1,C,C,C,1,C,BD,BD,1,C,BC,BC,1,C,BD,AD,0,X,AB,AB,1,C,BD,BD,1,C
Unit 4 Test,2nd Period,Annie,Brown,78392,,22,30,73.33,10/8/2019 0:00,10/10/2019 15:23,2,B,B,1,C,B,B,1,C,C,C,1,C,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,D,A,0,X,C,C,1,C,A,B,0,X,D,D,1,C,B,D,0,X,C,C,1,C,B,B,1,C,B,B,1,C,A,A,1,C,A,A,1,C,C,B,0,X,C,C,1,C,B,B,1,C,A,D,0,X,A,B,0,X,D,C,0,X,B,B,1,C,C,C,1,C,BD,BD,1,C,BC,BC,1,C,AD,AD,1,C,AC,AB,0,X,BD,BD,1,C
Unit 4 Test,6th Period,Jonathan,Murphy,15560,,27,30,90,10/8/2019 0:00,10/10/2019 15:23,1,D,D,1,C,B,B,1,C,C,C,1,C,A,A,1,C,D,D,1,C,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,D,D,1,C,C,C,1,C,A,A,1,C,A,A,1,C,D,D,1,C,D,D,1,C,C,A,0,X,D,D,1,C,B,B,1,C,B,B,1,C,C,C,1,C,A,C,0,X,B,B,1,C,B,B,1,C,D,D,1,C,B,B,1,C,BC,BC,1,C,BC,CD,0,X,BD,BD,1,C,AC,AC,1,C,AC,AC,1,C
Unit 4 Test,2nd Period,Eric,Parker,30203,,15,30,50,10/8/2019 0:00,10/10/2019 15:23,2,B,B,1,C,B,B,1,C,C,C,1,C,A,A,1,C,C,B,0,X,D,A,0,X,C,C,1,C,A,A,1,C,B,C,0,X,B,B,1,C,D,D,1,C,A,D,0,X,A,C,0,X,B,B,1,C,D,B,0,X,A,A,1,C,C,A,0,X,D,B,0,X,C,C,1,C,C,B,0,X,C,D,0,X,A,B,0,X,B,C,0,X,D,B,0,X,A,C,0,X,BD,BD,1,C,BD,BC,0,X,AD,AD,1,C,AB,AB,1,C,BD,BD,1,C
Unit 4 Test,5th Period,Judith,Brooks,99516,,28,30,93.33,10/8/2019 0:00,10/10/2019 15:23,1,D,D,1,C,B,B,1,C,C,C,1,C,A,A,1,C,D,D,1,C,A,A,1,C,B,B,1,C,A,A,1,C,B,C,0,X,D,D,1,C,C,C,1,C,A,A,1,C,A,A,1,C,D,D,1,C,D,D,1,C,A,A,1,C,D,D,1,C,B,B,1,C,B,B,1,C,C,C,1,C,C,C,1,C,B,B,1,C,B,B,1,C,D,D,1,C,B,B,1,C,BC,BC,1,C,BC,CD,0,X,BD,BD,1,C,AC,AC,1,C,AC,AC,1,C
Unit 4 Test,2nd Period,Scott,Thompson,95088,,23,30,76.67,10/8/2019 0:00,10/10/2019 15:23,2,A,B,0,X,B,B,1,C,D,C,0,X,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,A,A,1,C,C,C,1,C,B,B,1,C,D,D,1,C,B,D,0,X,C,C,1,C,C,B,0,X,B,B,1,C,A,A,1,C,A,A,1,C,B,B,1,C,C,C,1,C,C,B,0,X,D,D,1,C,B,B,1,C,C,C,1,C,B,B,1,C,C,C,1,C,BD,BD,1,C,BD,BC,0,X,AC,AD,0,X,AB,AB,1,C,BD,BD,1,C
Unit 4 Test,6th Period,Jacqueline,Peterson,22604,,26,30,86.67,10/8/2019 0:00,10/10/2019 15:23,2,B,B,1,C,B,B,1,C,C,C,1,C,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,A,A,1,C,C,C,1,C,B,B,1,C,D,D,1,C,D,D,1,C,C,C,1,C,B,B,1,C,B,B,1,C,A,A,1,C,A,A,1,C,A,B,0,X,D,C,0,X,B,B,1,C,D,D,1,C,B,B,1,C,D,C,0,X,B,B,1,C,A,C,0,X,BD,BD,1,C,BC,BC,1,C,AD,AD,1,C,AB,AB,1,C,BD,BD,1,C
Unit 4 Test,6th Period,Jennifer,Torres,70217,,15,30,50,10/8/2019 0:00,10/10/2019 15:23,1,D,D,1,C,B,B,1,C,C,C,1,C,C,A,0,X,B,D,0,X,A,A,1,C,B,B,1,C,D,A,0,X,C,C,1,C,D,D,1,C,C,C,1,C,A,A,1,C,A,A,1,C,B,D,0,X,A,D,0,X,B,A,0,X,D,D,1,C,B,B,1,C,D,B,0,X,D,C,0,X,B,C,0,X,C,B,0,X,D,B,0,X,D,D,1,C,B,B,1,C,AB,BC,0,X,BC,CD,0,X,AD,BD,0,X,BD,AC,0,X,AC,AC,1,C
Unit 4 Test,6th Period,Jeffrey,Gonzales,78102,,15,30,50,10/8/2019 0:00,10/10/2019 15:23,1,A,D,0,X,A,B,0,X,C,C,1,C,A,A,1,C,C,D,0,X,A,A,1,C,D,B,0,X,D,A,0,X,C,C,1,C,B,D,0,X,C,C,1,C,D,A,0,X,B,A,0,X,A,D,0,X,D,D,1,C,B,A,0,X,D,D,1,C,C,B,0,X,A,B,0,X,C,C,1,C,C,C,1,C,B,B,1,C,B,B,1,C,D,D,1,C,A,B,0,X,AD,BC,0,X,CD,CD,1,C,BC,BD,0,X,AC,AC,1,C,AC,AC,1,C
Unit 4 Test,2nd Period,Randy,Long,55988,,25,30,83.33,10/8/2019 0:00,10/10/2019 15:23,1,D,D,1,C,B,B,1,C,C,C,1,C,A,A,1,C,D,D,1,C,B,A,0,X,B,B,1,C,A,A,1,C,C,C,1,C,D,D,1,C,C,C,1,C,A,A,1,C,A,A,1,C,A,D,0,X,D,D,1,C,A,A,1,C,D,D,1,C,A,B,0,X,B,B,1,C,C,C,1,C,C,C,1,C,B,B,1,C,A,B,0,X,D,D,1,C,B,B,1,C,AC,BC,0,X,CD,CD,1,C,BD,BD,1,C,AC,AC,1,C,AC,AC,1,C
Unit 4 Test,2nd Period,Tina,Lopez,33194,,22,30,73.33,10/8/2019 0:00,10/10/2019 15:23,2,C,B,0,X,B,B,1,C,C,C,1,C,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,A,A,1,C,C,C,1,C,D,B,0,X,B,D,0,X,D,D,1,C,C,C,1,C,B,B,1,C,B,B,1,C,B,A,0,X,A,A,1,C,C,B,0,X,D,C,0,X,C,B,0,X,D,D,1,C,B,B,1,C,C,C,1,C,B,B,1,C,C,C,1,C,BD,BD,1,C,BC,BC,1,C,BD,AD,0,X,AB,AB,1,C,BD,BD,1,C
Unit 4 Test,2nd Period,Jesse,White,63564,,21,30,70,10/8/2019 0:00,10/10/2019 15:23,1,B,D,0,X,B,B,1,C,C,C,1,C,D,A,0,X,A,D,0,X,A,A,1,C,C,B,0,X,A,A,1,C,C,C,1,C,D,D,1,C,C,C,1,C,A,A,1,C,A,A,1,C,A,D,0,X,D,D,1,C,B,A,0,X,D,D,1,C,B,B,1,C,A,B,0,X,C,C,1,C,C,C,1,C,B,B,1,C,B,B,1,C,D,D,1,C,A,B,0,X,BD,BC,0,X,CD,CD,1,C,BD,BD,1,C,AC,AC,1,C,AC,AC,1,C
Unit 4 Test,5th Period,Stephen,Richardson,20824,,28,30,93.33,10/8/2019 0:00,10/10/2019 15:23,1,B,D,0,X,B,B,1,C,C,C,1,C,A,A,1,C,D,D,1,C,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,D,D,1,C,C,C,1,C,A,A,1,C,A,A,1,C,D,D,1,C,D,D,1,C,A,A,1,C,D,D,1,C,B,B,1,C,B,B,1,C,C,C,1,C,C,C,1,C,B,B,1,C,B,B,1,C,A,D,0,X,B,B,1,C,BC,BC,1,C,CD,CD,1,C,BD,BD,1,C,AC,AC,1,C,AC,AC,1,C
Unit 4 Test,6th Period,Brenda,Hughes,42850,,27,30,90,10/8/2019 0:00,10/10/2019 15:23,1,D,D,1,C,B,B,1,C,C,C,1,C,A,A,1,C,D,D,1,C,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,D,D,1,C,C,C,1,C,A,A,1,C,A,A,1,C,C,D,0,X,D,D,1,C,A,A,1,C,D,D,1,C,D,B,0,X,B,B,1,C,C,C,1,C,C,C,1,C,B,B,1,C,B,B,1,C,A,D,0,X,B,B,1,C,BC,BC,1,C,CD,CD,1,C,BD,BD,1,C,AC,AC,1,C,AC,AC,1,C
Unit 4 Test,2nd Period,Bobby,Wright,52086,,21,30,70,10/8/2019 0:00,10/10/2019 15:23,1,C,D,0,X,B,B,1,C,D,C,0,X,A,A,1,C,D,D,1,C,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,D,D,1,C,C,C,1,C,D,A,0,X,C,A,0,X,A,D,0,X,D,D,1,C,B,A,0,X,D,D,1,C,B,B,1,C,B,B,1,C,C,C,1,C,C,C,1,C,C,B,0,X,C,B,0,X,D,D,1,C,B,B,1,C,AD,BC,0,X,CD,CD,1,C,BD,BD,1,C,AC,AC,1,C,AC,AC,1,C
Unit 4 Test,6th Period,Clarence,Butler,47517,,26,30,86.67,10/8/2019 0:00,10/10/2019 15:23,1,D,D,1,C,B,B,1,C,C,C,1,C,A,A,1,C,D,D,1,C,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,D,D,1,C,C,C,1,C,A,A,1,C,A,A,1,C,A,D,0,X,D,D,1,C,C,A,0,X,D,D,1,C,B,B,1,C,B,B,1,C,C,C,1,C,C,C,1,C,B,B,1,C,B,B,1,C,D,D,1,C,B,B,1,C,BD,BC,0,X,AC,CD,0,X,BD,BD,1,C,AC,AC,1,C,AC,AC,1,C
Unit 4 Test,2nd Period,Thomas,Morgan,20882,,28,30,93.33,10/8/2019 0:00,10/10/2019 15:23,1,D,D,1,C,B,B,1,C,C,C,1,C,A,A,1,C,A,D,0,X,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,D,D,1,C,C,C,1,C,A,A,1,C,A,A,1,C,D,D,1,C,D,D,1,C,A,A,1,C,D,D,1,C,B,B,1,C,B,B,1,C,C,C,1,C,C,C,1,C,B,B,1,C,B,B,1,C,D,D,1,C,B,B,1,C,BC,BC,1,C,CD,CD,1,C,BD,BD,1,C,AC,AC,1,C,BC,AC,0,X
Unit 4 Test,2nd Period,Samuel,Green,47680,,24,30,80,10/8/2019 0:00,10/10/2019 15:23,1,C,D,0,X,B,B,1,C,C,C,1,C,A,A,1,C,A,D,0,X,A,A,1,C,B,B,1,C,D,A,0,X,C,C,1,C,D,D,1,C,C,C,1,C,A,A,1,C,A,A,1,C,A,D,0,X,D,D,1,C,C,A,0,X,D,D,1,C,B,B,1,C,A,B,0,X,C,C,1,C,C,C,1,C,B,B,1,C,B,B,1,C,D,D,1,C,B,B,1,C,BC,BC,1,C,CD,CD,1,C,BD,BD,1,C,AC,AC,1,C,AC,AC,1,C
Unit 4 Test,2nd Period,Steve,Miller,76088,,20,30,66.67,10/8/2019 0:00,10/10/2019 15:23,2,B,B,1,C,B,B,1,C,C,C,1,C,A,A,1,C,C,B,0,X,A,A,1,C,D,C,0,X,A,A,1,C,C,C,1,C,D,B,0,X,B,D,0,X,C,D,0,X,A,C,0,X,C,B,0,X,B,B,1,C,A,A,1,C,A,A,1,C,B,B,1,C,C,C,1,C,D,B,0,X,D,D,1,C,B,B,1,C,D,C,0,X,B,B,1,C,C,C,1,C,BD,BD,1,C,BC,BC,1,C,AD,AD,1,C,AD,AB,0,X,BD,BD,1,C
Unit 4 Test,2nd Period,Daniel,Walker,12306,,19,30,63.33,10/8/2019 0:00,10/10/2019 15:23,1,D,D,1,C,B,B,1,C,C,C,1,C,A,A,1,C,D,D,1,C,B,A,0,X,D,B,0,X,A,A,1,C,B,C,0,X,D,D,1,C,C,C,1,C,D,A,0,X,A,A,1,C,D,D,1,C,D,D,1,C,A,A,1,C,D,D,1,C,B,B,1,C,A,B,0,X,C,C,1,C,C,C,1,C,D,B,0,X,D,B,0,X,A,D,0,X,C,B,0,X,BD,BC,0,X,CD,CD,1,C,BD,BD,1,C,BC,AC,0,X,AC,AC,1,C
Unit 4 Test,2nd Period,Frances,James,73088,,25,30,83.33,10/8/2019 0:00,10/10/2019 15:23,1,D,D,1,C,B,B,1,C,C,C,1,C,A,A,1,C,D,D,1,C,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,,D,1,C,C,C,1,C,A,A,1,C,A,A,1,C,D,D,1,C,A,D,0,X,A,A,1,C,D,D,1,C,D,B,0,X,B,B,1,C,C,C,1,C,C,C,1,C,C,B,0,X,B,B,1,C,D,D,1,C,B,B,1,C,BC,BC,1,C,AC,CD,0,X,BD,BD,1,C,AD,AC,0,X,AC,AC,1,C
Unit 4 Test,6th Period,James,Adams,30559,,24,30,80,10/8/2019 0:00,10/10/2019 15:23,2,B,B,1,C,B,B,1,C,C,C,1,C,A,A,1,C,C,B,0,X,D,A,0,X,C,C,1,C,D,A,0,X,C,C,1,C,B,B,1,C,D,D,1,C,D,D,1,C,C,C,1,C,B,B,1,C,B,B,1,C,A,A,1,C,A,A,1,C,A,B,0,X,C,C,1,C,B,B,1,C,D,D,1,C,B,B,1,C,C,C,1,C,B,B,1,C,D,C,0,X,BD,BD,1,C,AC,BC,0,X,AD,AD,1,C,AB,AB,1,C,BD,BD,1,C
Unit 4 Test,5th Period,Beverly,Howard,36712,,23,30,76.67,10/8/2019 0:00,10/10/2019 15:23,1,D,D,1,C,B,B,1,C,C,C,1,C,A,A,1,C,D,D,1,C,A,A,1,C,B,B,1,C,A,A,1,C,C,C,1,C,D,D,1,C,C,C,1,C,A,A,1,C,C,A,0,X,D,D,1,C,D,D,1,C,A,A,1,C,D,D,1,C,B,B,1,C,D,B,0,X,C,C,1,C,C,C,1,C,B,B,1,C,D,B,0,X,D,D,1,C,A,B,0,X,AB,BC,0,X,BC,CD,0,X,BD,BD,1,C,AC,AC,1,C,AD,AC,0,X
